 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:13:42    8.89  100000     GSI     NIP
 18:13:35    8.90    1658     MLI     EVL
 18:13:34    8.90    5000     MLI     EVL
 18:13:33    8.90   15500     MLI     ENS
 18:13:33    8.90    5957     MLI     SGP
 18:13:33    8.90    5957     MLI     SGP
 18:13:32    8.90    3155     MLI     DBL
 18:13:32    8.90    2888     MLI     SGP
 18:13:32    8.90    1132     DBL     SGP
 18:13:32    8.90   15961     BPP     BPP
 18:13:32    8.90    4941     BPP     BPP
 18:13:32    8.90    1827     BPP     SGP
 18:13:32    8.90    6000     MLI     SGP
 18:13:32    8.90     400     SGP     SGP
 18:13:32    8.90     467     BPP     BPP
 18:13:32    8.90    4872     BPP     BPP
 18:13:23    8.91      50     EVL     NRD
 18:13:19    8.90     927     MLI     DBL
 18:13:19    8.90   10000     MLI     FIM
 18:13:19    8.90    5000     MLI     BPP
 18:13:19    8.90    2000     MLI     OPV
 18:13:19    8.90    1443     MLI     NRD
 18:13:19    8.90    2248     MLI     DBL
 18:13:19    8.90   10000     MLI     EQB
 18:13:19    8.90    5935     MLI     OPV
 18:13:18    8.90    4265     JPM     OPV
 18:13:18    8.90     198     JPM     NRD
 18:13:12    8.90     400     CAR     NRD
 18:13:09    8.90     700     CAR     NRD
 18:13:04    8.90     400     CAR     NRD
 18:12:44    8.89     332     MLI     DBL
 18:12:42    8.89   10000     MLI      UB
 18:12:42    8.89    6000     MLI     EVL
 18:12:42    8.89    4489     JPM     EVL
 18:12:40    8.89    1500     JPM     FIM
 18:12:35    8.89    2192     JPM     EVL
 18:12:35    8.89   12808     JPM     EVL
 18:12:29    8.90     351     EVL     NRD
 18:12:29    8.89     149     EVL     NRD
 18:12:29    8.89     500     EVL     NRD
 18:12:27    8.90     451     EVL     NRD
 18:12:27    8.89      49     EVL     MLI
 18:12:27    8.89     500     EVL     MLI
 18:12:27    8.89     500     EVL     MLI
 18:12:25    8.89    1000     EVL     FIM
 18:12:25    8.89    2399     EVL     MLI
 18:12:22    8.89     400     CAR     MLI
 18:12:21    8.89      13     CAR     MLI
 18:12:21    8.89      13     CAR     MLI
 18:12:21    8.89     173     CAR     MLI
 18:12:21    8.89     480     CAR     MLI
 18:12:21    8.89   19950     ABC     MLI
 18:12:21    8.89    4530     GSI     MLI
 18:12:21    8.89     276     SGP     MLI
 18:12:21    8.89    1046     MSI     MLI
 18:12:21    8.89    1583     MLI     MLI
 18:12:21    8.89    1462     MLI     MLI
 18:12:19    8.89     112     SGP     SGP
 18:12:19    8.89    1313     MSI     IMC
 18:12:19    8.89   12500     BPP     IMC
 18:12:19    8.89    4932     CSB     IMC
 18:12:19    8.89     272     UBS     IMC
 18:12:09    8.89     112     SGP     SGP
 18:12:09    8.91     290     EVL     NRD
 18:12:09    8.90     210     EVL     MLI
 18:12:09    8.90     500     EVL     MLI
 18:12:08    8.91     500     EVL     NRD
 18:12:08    8.91     500     EVL     NRD
 18:12:07    8.90     338     EVL     MLI
 18:12:07    8.90     162     EVL     DBL
 18:12:07    8.90     500     EVL     DBL
 18:12:07    8.90     500     EVL     DBL
 18:12:06    8.90    2000     DDB     OPV
 18:12:05    8.90     148     EVL     MLI
 18:12:05    8.90     352     EVL     CSB
 18:12:04    8.90    1086     DBL     DBL
 18:11:59    8.90     134     JPM     CSB
 18:11:59    8.90    1282     JPM     CSB
 18:11:59    8.90    1000     JPM     NON
 18:11:59    8.90     262     JPM     NRD
 18:11:59    8.90    2163     JPM     CSB
 18:11:59    8.90    2100     JPM     NON
 18:11:59    8.90    4986     JPM     OPV
 18:11:52    8.90     500     CAR     OPV
 18:11:48    8.90    1000     FIM     OPV
 18:11:47    8.90    3514     MLI     OPV
 18:11:47    8.90    2248     MLI     DBL
 18:11:47    8.90    1039     MLI     DBL
 18:11:47    8.90   10000     MLI     EPB
 18:11:47    8.90    1000     MLI     DBL
 18:11:47    8.90     387     MLI     NRD
 18:11:47    8.90    1000     MLI     NON
 18:11:47    8.90    3900     MLI     OPV
 18:11:47    8.90    2283     MLI     OPV
 18:11:45    8.90     214     EVL     OPV
 18:11:44    8.90    7503     JPM     OPV
 18:11:44    8.90     919     JPM     EQB
 18:11:39    8.89     490     UBS     EQB
 18:11:38    8.90     981     CDV     EQB
 18:11:38    8.90    6000     CDV     MLI
 18:11:38    8.90    2248     CDV     DBL
 18:11:38    8.90    2971     CDV     UBS
 18:11:38    8.90    5000     CDV     CDV
 18:11:32    8.90    3978     JPM     UBS
 18:11:32    8.90     200     JPM     NON
 18:11:32    8.90     700     JPM     SFB
 18:11:32    8.90       5     JPM     NON
 18:11:32    8.90    1000     JPM     EQB
 18:11:32    8.90     250     JPM     EQB
